entity_label,start_position,end_position,correct_prediction,candidates,matching_candidate_index
Fidelity Investments,757,777,True,"[[""Fidelity Investments"", 0, 1.0, 1.0, 0.084], [""Fidelity International"", 0, 0.71, 0.506, 0.058], [""Fidelity Investments"", 0, 1.0, 0.0, 0.154]]",0
PepsiCo,754,761,True,"[[""PepsiCo"", 0.654, 1.0, 1.0, 0.314], [""List of assets owned by PepsiCo"", 0, 0.37, 0.109, 0.283], [""Leonard v. Pepsico, Inc."", 0, 0.39, 0.0, 0.371]]",0
Helen Hunt,575,585,True,"[[""Helen Hunt"", 0.705, 1.0, 1.0, 0.051], [""Helen Hunt Jackson"", 0.754, 0.71, 0.757, 0.011], [""Helen LaKelly Hunt"", 0.705, 0.71, 0.0, 0.022]]",0
Greg Kinnear,586,598,True,"[[""Greg Kinnear"", 0.706, 1.0, 1.0, 0.08], [""Later (talk show)"", 1.022, 0.21, 0.631, 0.103], [""Greg Kinnear"", 0, 1.0, 0.0, 0.178]]",0
Campbell Soup Co,644,660,True,"[[""Campbell Soup Company"", 0, 0.86, 1.0, 0.336], [""Doom 3"", 0.883, 0.18, 0.729, -0.081], [""Soap (TV series)"", 0.879, 0.25, 0.0, 0.17]]",0
Times Square,549,561,True,"[[""Times Square"", 0.819, 1.0, 0.246, 0.204], [""Times Square Ball"", 0.797, 0.83, 0.0, 0.184], [""Times Square\u201342nd Street/Port Authority Bus Terminal station"", 0, 0.33, 1.0, 0.107]]",0
Levi,638,642,False,"[[""Primo Levi"", 0.715, 0.57, 0.292, 0.044], [""Levi Strauss & Co."", 0, 0.36, 1.0, 0.189], [""Levi Eshkol"", 0.669, 0.53, 0.0, -0.005]]",1
Microsoft,613,622,False,"[[""Microsoft Windows"", 0.905, 0.69, 1.0, 0.091], [""Microsoft"", 0.654, 1.0, 0.0, 0.123], [""Xbox 360"", 0.882, 0.12, 0.263, 0.076]]",1
Land Rover,754,764,True,"[[""Land Rover"", 0.78, 1.0, 0.0, 0.14], [""Jaguar Land Rover"", 0, 0.74, 1.0, 0.16], [""Land Rover Defender"", 0.742, 0.69, 0.13, 0.097]]",0
Volvo,769,774,False,"[[""Volvo Cars"", 0.654, 0.67, 1.0, 0.198], [""Volvo Buses"", 0.654, 0.62, 0.536, 0.181], [""Volvo"", 0.654, 1.0, 0.0, 0.172]]",2
Sprint Communications Co,616,640,True,"[[""Sprint Corporation"", 0.654, 0.67, 0.0, 0.163], [""Entrepreneurship"", 0, 0.25, 1.0, -0.058], [""Mediumship"", 0, 0.18, 0.329, 0.033]]",0
John Corbett,787,799,True,"[[""John Corbett"", 0.707, 1.0, 1.0, 0.266], [""John Corbett (coach)"", 0.842, 0.75, 0.0, -0.033], [""John Corbett O'Meara"", 0.703, 0.75, 0.0, 0.069]]",0
Houston Grand Opera,551,570,False,"[[""Republican Party (United States)"", 0.699, 0.31, 1.0, -0.116], [""Houston Grand Opera"", 0, 1.0, 0.142, 0.139], [""Houston Grand Opera"", 0, 1.0, 0.0, 0.229]]",1
CBS,733,736,True,"[[""CBS"", 0.747, 1.0, 0.858, 0.172], [""Columbia Records"", 0.719, 0.11, 1.0, -0.035], [""CBS Sports Radio"", 0.747, 0.32, 0.0, 0.254]]",0
Brooklyn,602,610,True,"[[""Brooklyn"", 0.834, 1.0, 1.0, 0.197], [""Brooklyn Dodgers"", 0, 0.67, 0.0, 0.197], [""Brooklyn College"", 0, 0.67, 0.016, 0.036]]",0
Slobodan Milosevic,319,337,True,"[[""Slobodan Milo\u0161evi\u0107"", 0.731, 0.89, 1.0, 0.699], [""Overthrow of Slobodan Milo\u0161evi\u0107"", 0, 0.65, 0.688, 0.559], [""Death of Slobodan Milo\u0161evi\u0107"", 0, 0.71, 0.0, 0.428]]",0
